路口编号,路口编号,上一口编号,车道编号,相位ID,当前roadID,当前laneID,停车pointID,后继道路roadID1,后继道路laneID1,转弯属性1,|,gauss_x,guass_y,height,该组红绿灯总个数,子灯索引,子灯形状flag,子灯形状
BTC3,BTC3,BTC2,-1,0,107,1,end,地图上无后继,,,|,,,,,,,
BTC3,BTC3,BTC2,-2,0,107,2,end,420,0,2,|,,,,,,,
BTC3,BTC3,BTC2,-3,0,107,3,end,419,0,2,|,,,,,,,
BTC3,BTC3,XGT4,0,0,492,0,end,右转不看灯,,,|,,,,,,,
BTC3,BTC3,XGT4,0,0,492,0,end,188,0,0,|,,,,,,,
BTC3,BTC3,XGT4,-1,0,492,1,end,188,1,0,|,,,,,,,
BTC3,BTC3,XGT4,-2,0,492,2,end,地图上无后继,,,|,,,,,,,
BTC3,BTC3,I32050700000020,0,0,196,0,end,187,0,0,|,,,,,,,
BTC3,BTC3,I32050700000020,-1,0,196,1,end,417,0,2,|,,,,,,,
BTC3,BTC3,I32050700000020,-2,0,196,2,end,418,0,2,|,,,,,,,
XGT4,XGT4,BTC3,0,0,484,0,end,485,0,0,|,,,,,,,
XGT4,XGT4,BTC3,-1,0,484,1,end,地图上无后继,,,|,,,,,,,
XGT4,XGT4,BTC3,-2,0,484,2,end,279,0,2,|,,,,,,,
XGT4,XGT4,XGT3,0,0,514,0,end,右转不看灯,,,|,,,,,,,
XGT4,XGT4,XGT3,-1,0,514,1,end,地图上无后继,,,|,,,,,,,
XGT4,XGT4,XGT3,-2,0,514,2,end,地图上无后继,,,|,,,,,,,
XGT4,XGT4,XGT3,-3,0,514,3,end,地图上无后继,,,|,,,,,,,
XGT4,XGT4,XGT3,-4,0,514,4,end,273,0,2,|,,,,,,,
XGT2,XGT2,XGT1,0,0,504,0,end,地图上无后继,,,|,,,,,,,
XGT2,XGT2,XGT1,-1,0,504,1,end,地图上无后继,,,|,,,,,,,
XGT2,XGT2,XGT1,-2,0,504,2,end,505,0,0,|,,,,,,,
XGT2,XGT2,XGT1,-3,0,504,3,end,505,1,0,|,,,,,,,
XGT2,XGT2,XGT1,-4,0,504,4,end,505,2,0,|,,,,,,,
XGT2,XGT2,XGT3,0,0,499,0,end,500,0,0,|,,,,,,,
XGT2,XGT2,XGT3,-1,0,499,1,end,500,1,0,|,,,,,,,
XGT2,XGT2,XGT3,-2,0,499,2,end,500,2,0,|,,,,,,,
XGT2,XGT2,XGT3,-3,0,499,3,end,500,3,0,|,,,,,,,
XGT2,XGT2,XGT3,-4,0,499,4,end,地图上无后继,,,|,,,,,,,
XGT3,XGT3,XGT4,0,0,494,0,end,495,0,0,|,,,,,,,
XGT3,XGT3,XGT4,-1,0,494,1,end,495,1,0,|,,,,,,,
XGT3,XGT3,XGT4,-2,0,494,2,end,495,2,0,|,,,,,,,
XGT3,XGT3,XGT2,0,0,509,0,end,510,0,0,|,,,,,,,
XGT3,XGT3,XGT2,-1,0,509,1,end,510,1,0,|,,,,,,,
XGT3,XGT3,XGT2,-2,0,509,2,end,510,2,0,|,,,,,,,
XGT3,XGT3,XGT2,-3,0,509,3,end,地图上无后继,,,|,,,,,,,
